What is your name?	Ranking >> Winner (Captain) >> Queens	Ranking >> Runner-up (Teammate) >> Queens	Ranking >> 3rd (Teammate) >> Queens	Ranking >> 4th >> Queens	Ranking >> 5th >> Queens	Ranking >> 6th >> Queens	Ranking >> 7th >> Queens	Ranking >> 8th >> Queens	Ranking >> 9th >> Queens	Ranking >> 10th >> Queens	Ranking >> 11th >> Queens	Ranking >> 12th >> Queens	Ranking >> 13th >> Queens	Ranking >> 14th >> Queens
Josh	Jane Don't	Ciara Myst	Athena Dion	Mia Starr	Briar Blush	Discord Addams	Darlene Mitchell	Vita VonTesse Starr	Juicy Love Dion	Myki Meeks	Kenya Pleaser	Mandy Mango	DD Fuego	Nini Coco
Ryan	Jane Don't	Discord Addams	Kenya Pleaser	Nini Coco	Athena Dion	DD Fuego	Vita VonTesse Starr	Myki Meeks	Juicy Love Dion	Mandy Mango	Mia Starr	Briar Blush	Darlene Mitchell	Ciara Myst
Olivia	Myki Meeks	Jane Don't	Darlene Mitchell	Juicy Love Dion	Nini Coco	Kenya Pleaser	Athena Dion	Mia Starr	Vita VonTesse Starr	Ciara Myst	Briar Blush	Discord Addams	Mandy Mango	DD Fuego
Emilee	Athena Dion	Mia Starr	Nini Coco	Discord Addams	Vita VonTesse Starr	Juicy Love Dion	Myki Meeks	Mandy Mango	Briar Blush	Kenya Pleaser	Ciara Myst	Jane Don't	DD Fuego	Darlene Mitchell
Bryan	Juicy Love Dion	Athena Dion	Nini Coco	Jane Don't	DD Fuego	Kenya Pleaser	Ciara Myst	Mandy Mango	Vita VonTesse Starr	Myki Meeks	Discord Addams	Briar Blush	Mia Starr	Darlene Mitchell
Mom	Mandy Mango	Myki Meeks	DD Fuego	Athena Dion	Mia Starr	Jane Don't	Discord Addams	Juicy Love Dion	Briar Blush	Darlene Mitchell	Vita VonTesse Starr	Kenya Pleaser	Ciara Myst	Nini Coco
Kolin	Athena Dion	Nini Coco	Mandy Mango	Vita VonTesse Starr	Jane Don't	Mia Starr	Ciara Myst	Myki Meeks	Briar Blush	Discord Addams	Kenya Pleaser	Juicy Love Dion	DD Fuego	Darlene Mitchell
Brie	Nini Coco	Jane Don't	Darlene Mitchell	Athena Dion	Juicy Love Dion	Myki Meeks	Vita VonTesse Starr	Kenya Pleaser	Discord Addams	Mia Starr	Briar Blush	Ciara Myst	Mandy Mango	DD Fuego
Ty	Jane Don't	Kenya Pleaser	Nini Coco	DD Fuego	Ciara Myst	Athena Dion	Juicy Love Dion	Briar Blush	Discord Addams	Myki Meeks	Mia Starr	Darlene Mitchell	Vita VonTesse Starr	Mandy Mango
Jourdan	DD Fuego	Ciara Myst	Darlene Mitchell	Mandy Mango	Myki Meeks	Kenya Pleaser	Mia Starr	Vita VonTesse Starr	Discord Addams	Juicy Love Dion	Jane Don't	Athena Dion	Nini Coco	Briar Blush
Jacob	Jane Don't	Kenya Pleaser	Mia Starr	Ciara Myst	Discord Addams	Briar Blush	Athena Dion	Juicy Love Dion	Myki Meeks	Vita VonTesse Starr	Darlene Mitchell	Nini Coco	Mandy Mango	DD Fuego
Austin	Athena Dion	Jane Don't	Kenya Pleaser	Ciara Myst	Discord Addams	Juicy Love Dion	Myki Meeks	Mandy Mango	Briar Blush	Nini Coco	Mia Starr	Darlene Mitchell	Vita VonTesse Starr	DD Fuego